component_id,repo,primary_category,categories,component_kind,capability,name,normalized_name,path,extension,lines,exports,imports,dependency_roots,framework,package_manager,confidence,reuse_score,extraction_status,ai_scaffold_recommended,process_relevance,automation_relevance,logic_relevance,description,evidence,file_hash
8739f689010b47c82432b3ff,mbarbine__DCF-Audit-Scripts,automation,"automation,observability,security,ai",script,observability,crowstrike-auditor-v3,crowstrike-auditor-v3,crowstrike-auditor-v3.ps1,.ps1,594,,,,unknown,unknown,65,80,shared-automation-candidate,True,none,primary,none,"Automation component for observability; review for reusable script, workflow, deployment job, or infra automation.",automation-score:125 | observability-score:55 | security-score:55 | ai-score:45,3caa16995f8a2c34
c95c976a48ed009fe2174d51,mbarbine__DCF-Audit-Scripts,automation,"automation,observability,security,ai",script,observability,crowdstrike-auditor-v2,crowdstrike-auditor-v2,crowdstrike-auditor-v2.ps1,.ps1,373,,,,unknown,unknown,65,90,shared-automation-candidate,True,none,primary,none,"Automation component for observability; review for reusable script, workflow, deployment job, or infra automation.",automation-score:125 | observability-score:55 | security-score:55 | ai-score:45,28de182ecc704667
1f5c016fd8f7a0ad7e000413,mbarbine__DCF-Audit-Scripts,automation,automation,script,general,o365-auditor,o365-auditor,o365-auditor.ps1,.ps1,0,,,,unknown,unknown,50,75,shared-automation-candidate,False,none,primary,none,"Automation component for general; review for reusable script, workflow, deployment job, or infra automation.",automation-score:80,91b4c86523535e6d
1a52ee150bb41ad7b472e4ae,mbarbine__DCF-Audit-Scripts,automation,"automation,observability,security,ai",script,ai,crowdstrike-auditor,crowdstrike-auditor,crowdstrike-auditor.ps1,.ps1,182,,,,unknown,unknown,65,95,shared-automation-candidate,True,none,primary,none,"Automation component for ai; review for reusable script, workflow, deployment job, or infra automation.",automation-score:125 | observability-score:55 | security-score:55 | ai-score:45,41b9fbf01184ebed
f9e6ca572c800282f6d85c88,mbarbine__DCF-Audit-Scripts,automation,automation,script,general,fortisase-auditor,fortisase-auditor,fortisase-auditor.ps1,.ps1,0,,,,unknown,unknown,50,75,shared-automation-candidate,False,none,primary,none,"Automation component for general; review for reusable script, workflow, deployment job, or infra automation.",automation-score:80,fde605eace248db8
c4e3ad7f6b6e17660972cb0e,mbarbine__DCF-Audit-Scripts,automation,automation,script,general,Ninja-one-audit,ninja-one-audit,Ninja-one-audit.ps1,.ps1,0,,,,unknown,unknown,50,75,shared-automation-candidate,False,none,primary,none,"Automation component for general; review for reusable script, workflow, deployment job, or infra automation.",automation-score:80,a95a20df822799e7
35e07966b15a90ba059ae644,mbarbine__JenkinsDB,automation,"automation,security",script,auth-and-keys,GrabXML,grab-xml,"Powershell Scripts, Files, and Tasks/Directory Structure/DATA (E DRIVE)/E-Colon-Slash XML/builds/GrabXML.ps1",.ps1,107,,,,unknown,unknown,75,95,shared-automation-candidate,True,none,primary,none,"Automation component for auth-and-keys; review for reusable script, workflow, deployment job, or infra automation.",automation-score:130 | security-score:55,1c663962e8301cdb
fdc458c16fbfbf37468201af,mbarbine__JenkinsDB,automation,"automation,security",script,auth-and-keys,GrabXML.Tests,grab-xml-tests,Tests/GrabXML.Tests.ps1,.ps1,240,,,,unknown,unknown,65,90,shared-automation-candidate,True,none,primary,none,"Automation component for auth-and-keys; review for reusable script, workflow, deployment job, or infra automation.",automation-score:125 | security-score:55,364d2699bc58f4d4
9ad108c5a669ad038493d775,mbarbine__PH3AR-WEBBY,automation,automation,automation-config,analytics,vite.config,vite-config,vite.config.js,.js,36,,"@poppanator/sveltekit-svg,@sveltejs/kit/vite,vite-imagetools,vitest/config","@poppanator/sveltekit-svg,@sveltejs/kit,vite-imagetools,vitest",svelte,bun,65,55,catalog-only,True,none,primary,none,"Automation component for analytics; review for reusable script, workflow, deployment job, or infra automation.","imports:@poppanator/sveltekit-svg, @sveltejs/kit/vite, vite-imagetools, vitest/config | automation-score:45",a5e33c3afb00cab7
d12b71ca4a6846ec8ab5daad,mbarbine__PH3AR-WEBBY,automation,automation,automation-config,ai,package,package,package.json,.json,81,,,,svelte,bun,55,70,shared-automation-candidate,True,none,primary,none,"Automation component for ai; review for reusable script, workflow, deployment job, or infra automation.",automation-score:45 | model-provider,d0ab3e3cc92abfd6
4b856d51fe50cd32c4a9fb2c,mbarbine__PH3AR-WEBBY,automation,automation,script,testing,cleanup,cleanup,cleanup.sh,.sh,90,,,,svelte,bun,55,80,shared-automation-candidate,True,none,primary,none,"Automation component for testing; review for reusable script, workflow, deployment job, or infra automation.",automation-score:80,d2612faadfad895d
41498b50c1011e2ab1455ac8,mbarbine__Scripts,automation,"automation,logic",script,auth-and-keys,JSONRequest_Parser,jsonrequest-parser,JSONRequest_Parser.sh,.sh,26,,,,unknown,unknown,65,95,shared-automation-candidate,True,none,primary,secondary,"Automation component for auth-and-keys; review for reusable script, workflow, deployment job, or infra automation.",automation-score:80 | logic-score:45,1b25d9149ac3a940
b939cb3109a16562dc3e39c0,mbarbine__Scripts,automation,"automation,security",script,auth-and-keys,postEC2ip2slack,post-ec2ip2slack,postEC2ip2slack.sh,.sh,49,,,,unknown,unknown,65,95,shared-automation-candidate,False,none,primary,none,"Automation component for auth-and-keys; review for reusable script, workflow, deployment job, or infra automation.",automation-score:125 | security-score:55,d21c68bcee96c232
44f9003eaec56d97c735db92,mbarbine__Scripts,automation,"automation,observability,security",script,observability,script,script,script.bat,.bat,329,,,,unknown,unknown,65,90,shared-automation-candidate,True,none,primary,none,"Automation component for observability; review for reusable script, workflow, deployment job, or infra automation.",automation-score:130 | observability-score:55 | security-score:55,7da311e1cceb8f45
876778b36887a33cae2d7373,mbarbine__Scripts,automation,"automation,security",script,auth-and-keys,doflow-eval3,doflow-eval3,doflow-eval3.sh,.sh,1,,,,unknown,unknown,60,90,shared-automation-candidate,True,none,primary,none,"Automation component for auth-and-keys; review for reusable script, workflow, deployment job, or infra automation.",automation-score:80 | security-score:55,688e6242ed71dc6c
0471615087c9ea297ef6c8ad,mbarbine__Scripts,automation,"automation,security",script,shipping,generate_key,generate-key,generate_key.sh,.sh,15,,,,unknown,unknown,65,80,shared-automation-candidate,True,none,primary,none,"Automation component for shipping; review for reusable script, workflow, deployment job, or infra automation.",automation-score:80 | security-score:55,489b03a7151b5194
553b9c157e88d8d8efd0655f,mbarbine__Scripts,automation,"automation,security",script,auth-and-keys,doflow-eval2,doflow-eval2,doflow-eval2.sh,.sh,4,,,,unknown,unknown,60,90,shared-automation-candidate,True,none,primary,none,"Automation component for auth-and-keys; review for reusable script, workflow, deployment job, or infra automation.",automation-score:80 | security-score:55,568a0bc2e48aaf01
6a4b3495d38be53f566b49e3,mbarbine__Scripts,automation,automation,script,general,scp,scp,scp.sh,.sh,1,,,,unknown,unknown,50,75,shared-automation-candidate,False,none,primary,none,"Automation component for general; review for reusable script, workflow, deployment job, or infra automation.",automation-score:80,f923c62c2f8e6426
de2ad9e7ca7664af58a6e5a6,mbarbine__Scripts,automation,"automation,security",script,auth-and-keys,create-eks-admin,create-eks-admin,create-eks-admin.sh,.sh,22,,,,unknown,unknown,65,95,shared-automation-candidate,False,none,primary,none,"Automation component for auth-and-keys; review for reusable script, workflow, deployment job, or infra automation.",automation-score:80 | security-score:55,8fe5f55b2658defd
240018c4f656aaecb218ae0a,mbarbine__Scripts,automation,"automation,observability,security",script,auth-and-keys,Powershell-Backup,powershell-backup,Powershell-Backup.ps1,.ps1,578,,,,unknown,unknown,65,80,shared-automation-candidate,True,none,primary,none,"Automation component for auth-and-keys; review for reusable script, workflow, deployment job, or infra automation.",automation-score:80 | observability-score:55 | security-score:55,30f965d97e967e8f
0c530534499b10cfaf7f2944,mbarbine__Scripts,automation,"automation,observability,security",script,observability,configure,configure,configure.sh,.sh,85,,,,unknown,unknown,65,95,shared-automation-candidate,True,none,primary,none,"Automation component for observability; review for reusable script, workflow, deployment job, or infra automation.",automation-score:125 | observability-score:55 | security-score:55,e8320ad441c35cdb
55dc9a6cd50d7e61ef0e4ab7,mbarbine__Scripts,automation,automation,script,general,Txt_To_CSV_FTP,txt-to-csv-ftp,Txt_To_CSV_FTP.sh,.sh,42,,,,unknown,unknown,55,80,shared-automation-candidate,False,none,primary,none,"Automation component for general; review for reusable script, workflow, deployment job, or infra automation.",automation-score:80,08cc73e88fb1c207
50b69d78bbfe9538eb15a3b1,mbarbine__Scripts,automation,"automation,observability,security",script,auth-and-keys,grafana,grafana,grafana.sh,.sh,12,,,,unknown,unknown,65,95,shared-automation-candidate,False,none,primary,none,"Automation component for auth-and-keys; review for reusable script, workflow, deployment job, or infra automation.",automation-score:125 | observability-score:55 | security-score:55,4909c93e5fdf2389
15f1e618f258b88fce0626f6,mbarbine__Scripts,automation,automation,script,discovery,install_krew,install-krew,install_krew.sh,.sh,8,,,,unknown,unknown,50,90,shared-automation-candidate,False,none,primary,none,"Automation component for discovery; review for reusable script, workflow, deployment job, or infra automation.",automation-score:80,acb55e277efde198
f701d6f210a943dd4ec30b5b,mbarbine__Scripts,automation,automation,script,logic,windows-admin,windows-admin,windows-admin.ps1,.ps1,24,,,,unknown,unknown,55,95,shared-automation-candidate,True,none,primary,none,"Automation component for logic; review for reusable script, workflow, deployment job, or infra automation.",automation-score:80,c91ad0eb63af0d0e
f62c37ea517919bd272287d1,mbarbine__Scripts,automation,"automation,observability",script,observability,setup_createcustomprofile,setup-createcustomprofile,h4x/dagah-ios/setup_createcustomprofile.sh,.sh,42,,,,unknown,unknown,65,95,shared-automation-candidate,True,none,primary,none,"Automation component for observability; review for reusable script, workflow, deployment job, or infra automation.",automation-score:80 | observability-score:55,673a2f80d378527e
54c8ff73c22b0eaa0a434c7e,mbarbine__Scripts,automation,"automation,observability,security",script,observability,custombuildparameters,custombuildparameters,h4x/dagah-ios/custombuildparameters.sh,.sh,41,,,,unknown,unknown,65,95,shared-automation-candidate,True,none,primary,none,"Automation component for observability; review for reusable script, workflow, deployment job, or infra automation.",automation-score:80 | observability-score:55 | security-score:55,d3686c9606792a4f
769a92482a23adbffce3a0ec,mbarbine__Scripts,automation,"automation,ai",script,ai,Script-D7085DBC2DAA99494D8CFEE7,script-d7085-dbc2-daa99494-d8-cfee7,h4x/dagah-ios/agent/Build/Intermediates/agent.build/Release-iphonesimulator/agent.build/Script-D7085DBC2DAA99494D8CFEE7.sh,.sh,3,,,,unknown,unknown,60,90,shared-automation-candidate,True,none,primary,none,"Automation component for ai; review for reusable script, workflow, deployment job, or infra automation.",automation-score:130 | ai-score:75,9a3713ff786f0af3
f50f1714ee04d73c1642cdaf,mbarbine__Scripts,automation,"automation,ai",script,ai,Script-E6662109529B27D8766B6E50,script-e6662109529-b27-d8766-b6-e50,h4x/dagah-ios/agent/Build/Intermediates/agent.build/Release-iphonesimulator/agent.build/Script-E6662109529B27D8766B6E50.sh,.sh,3,,,,unknown,unknown,60,90,shared-automation-candidate,True,none,primary,none,"Automation component for ai; review for reusable script, workflow, deployment job, or infra automation.",automation-score:130 | ai-score:75,1b3998abb3c3ac46
60e08f2ef9ce06efa167bae1,mbarbine__Scripts,automation,"automation,ai",script,ai,Script-B8806F7237D4E8685355A3C6,script-b8806-f7237-d4-e8685355-a3-c6,h4x/dagah-ios/agent/Build/Intermediates/agent.build/Release-iphonesimulator/agent.build/Script-B8806F7237D4E8685355A3C6.sh,.sh,8,,,,unknown,unknown,60,90,shared-automation-candidate,True,none,primary,none,"Automation component for ai; review for reusable script, workflow, deployment job, or infra automation.",automation-score:130 | ai-score:75,05cd227d00324e82
ecbcab273d4bfcbfc62571cb,mbarbine__Scripts,automation,automation,script,game,gradlew,gradlew,h4x/dagah-modem-bridge/gradlew.bat,.bat,90,,,,unknown,unknown,55,80,shared-automation-candidate,True,none,primary,none,"Automation component for game; review for reusable script, workflow, deployment job, or infra automation.",automation-score:80,f4f428c5626b3d90
71a486aa6d1df24f73ce8900,mbarbine__Scripts,automation,"automation,backend,observability",script,observability,dagah_gui_installer,dagah-gui-installer,h4x/dagah-server/pipeline/archive/dagah_gui_installer.sh,.sh,53,,,,unknown,unknown,65,95,shared-automation-candidate,True,none,primary,none,"Automation component for observability; review for reusable script, workflow, deployment job, or infra automation.",automation-score:80 | backend-score:55 | observability-score:55,5f2fffea6363c6aa
7b2f1dcf1c905c956ef2c2e6,mbarbine__Scripts,automation,"automation,backend,security,ai",script,ai,dagah_installer,dagah-installer,h4x/dagah-server/pipeline/archive/dagah_installer.sh,.sh,96,,,,unknown,unknown,65,95,shared-automation-candidate,True,none,primary,none,"Automation component for ai; review for reusable script, workflow, deployment job, or infra automation.",automation-score:80 | backend-score:55 | security-score:55 | ai-score:45,d9fde4f9e73de50f
5a2326d5561c3c86f8bdd6f4,mbarbine__Scripts,automation,"automation,backend,observability,security",script,observability,monitor-mtips-environment,monitor-mtips-environment,h4x/dagah-server/pipeline/cookbooks/monitor-mtips-environment.sh,.sh,40,,,,unknown,unknown,65,95,shared-automation-candidate,True,none,primary,none,"Automation component for observability; review for reusable script, workflow, deployment job, or infra automation.",automation-score:80 | backend-score:55 | observability-score:55 | security-score:55,34c25903da8513a9
cfdd09fba1488e12bf89bde5,mbarbine__Scripts,automation,"automation,backend",script,general,headers,headers,h4x/dagah-server/pipeline/cookbooks/headers.sh,.sh,9,,,,unknown,unknown,60,75,shared-automation-candidate,False,none,primary,none,"Automation component for general; review for reusable script, workflow, deployment job, or infra automation.",automation-score:80 | backend-score:55,d32ac3927c5f6c41
80a406a0c3fec7ff9b91d33b,mbarbine__Scripts,automation,"automation,backend,security",script,auth-and-keys,add_piv_key,add-piv-key,h4x/dagah-server/pipeline/cookbooks/aws_account_setup/add_piv_key.sh,.sh,20,,,,unknown,unknown,65,95,shared-automation-candidate,False,none,primary,none,"Automation component for auth-and-keys; review for reusable script, workflow, deployment job, or infra automation.",automation-score:80 | backend-score:55 | security-score:55,c3b43cf8e16cdd92
90f11935c3fe61be2efb96e7,mbarbine__Scripts,automation,"automation,backend,security",script,shipping,create-options,create-options,h4x/dagah-server/pipeline/cookbooks/aws_account_setup/vpc_mgmt/create-options.sh,.sh,38,,,,unknown,unknown,65,80,shared-automation-candidate,True,none,primary,none,"Automation component for shipping; review for reusable script, workflow, deployment job, or infra automation.",automation-score:80 | backend-score:55 | security-score:55,42641e1b6eae5817
e02e51bf41377c6b4addca0a,mbarbine__Scripts,automation,"automation,backend,security",script,shipping,converge-nacls,converge-nacls,h4x/dagah-server/pipeline/cookbooks/aws_account_setup/vpc_mgmt/converge-nacls.sh,.sh,73,,,,unknown,unknown,65,80,shared-automation-candidate,True,none,primary,none,"Automation component for shipping; review for reusable script, workflow, deployment job, or infra automation.",automation-score:80 | backend-score:55 | security-score:55,b5ca1c8a9c8eea2a
946b7751fa1b07e75b9ac809,mbarbine__Scripts,automation,"automation,backend",script,shipping,vpc_properties,vpc-properties,h4x/dagah-server/pipeline/cookbooks/aws_account_setup/vpc_mgmt/target_vpcs/prod/vpc_properties.sh,.sh,7,,,,unknown,unknown,60,75,shared-automation-candidate,True,none,primary,none,"Automation component for shipping; review for reusable script, workflow, deployment job, or infra automation.",automation-score:80 | backend-score:55,1120da9a040b1e63
91365b0379e90cfde32b65d3,mbarbine__Scripts,automation,"automation,backend",script,shipping,vpc_properties,vpc-properties,h4x/dagah-server/pipeline/cookbooks/aws_account_setup/vpc_mgmt/target_vpcs/pubdev/vpc_properties.sh,.sh,6,,,,unknown,unknown,60,75,shared-automation-candidate,True,none,primary,none,"Automation component for shipping; review for reusable script, workflow, deployment job, or infra automation.",automation-score:80 | backend-score:55,2bbe1c9ce83ed9c9
f1261b4b39dcefd4ffeb2f87,mbarbine__Scripts,automation,"automation,backend",script,shipping,vpc_properties,vpc-properties,h4x/dagah-server/pipeline/cookbooks/aws_account_setup/vpc_mgmt/target_vpcs/int/vpc_properties.sh,.sh,7,,,,unknown,unknown,60,75,shared-automation-candidate,True,none,primary,none,"Automation component for shipping; review for reusable script, workflow, deployment job, or infra automation.",automation-score:80 | backend-score:55,67020b43505ead36
bea602cb766b20b6fd2e7e48,mbarbine__Scripts,automation,"automation,backend",script,shipping,vpc_properties,vpc-properties,h4x/dagah-server/pipeline/cookbooks/aws_account_setup/vpc_mgmt/target_vpcs/fakeprod/vpc_properties.sh,.sh,6,,,,unknown,unknown,60,75,shared-automation-candidate,True,none,primary,none,"Automation component for shipping; review for reusable script, workflow, deployment job, or infra automation.",automation-score:80 | backend-score:55,2e1973267a105fa3
6c54903a598c5d1ed6250bd3,mbarbine__Scripts,automation,"automation,backend,security",script,general,provision,provision,h4x/dagah-server/pipeline/packer/releases/dagahv2/scripts/provision.sh,.sh,52,,,,unknown,unknown,75,80,shared-automation-candidate,False,none,primary,none,"Automation component for general; review for reusable script, workflow, deployment job, or infra automation.",automation-score:130 | backend-score:55 | security-score:55,8e00f847a7d6f915
bf5dea9d8766233cec15983f,mbarbine__Scripts,automation,"automation,backend",script,general,ext_disk,ext-disk,h4x/dagah-server/pipeline/packer/releases/dagahv2/scripts/ext_disk.sh,.sh,12,,,,unknown,unknown,75,80,shared-automation-candidate,False,none,primary,none,"Automation component for general; review for reusable script, workflow, deployment job, or infra automation.",automation-score:130 | backend-score:55,30d07e53d64caf44
