component_id,repo,primary_category,categories,component_kind,capability,name,normalized_name,path,extension,lines,exports,imports,dependency_roots,framework,package_manager,confidence,reuse_score,extraction_status,ai_scaffold_recommended,process_relevance,automation_relevance,logic_relevance,description,evidence,file_hash
5a2dd5bead5b3130e55560ac,mbarbine__Scripts,discovery,"discovery,automation,process",feed,discovery,deployment,deployment,helm/HHLP-DEV/HelmCharts/helm/feedback/templates/deployment.yaml,.yaml,46,,,,unknown,unknown,65,55,catalog-only,True,secondary,secondary,none,"Discovery component for discovery; review for shared sitemap, feed, llms, OpenAPI, or metadata generator.",discovery-score:55 | automation-score:50 | process-score:45,302a41088f711f38
2f13e51a3c3be12cfbe3bed8,mbarbine__Scripts,discovery,discovery,feed,discovery,test-connection,test-connection,helm/HHLP-DEV/HelmCharts/helm/feedback/templates/tests/test-connection.yaml,.yaml,18,,,,unknown,unknown,55,55,catalog-only,True,none,none,none,"Discovery component for discovery; review for shared sitemap, feed, llms, OpenAPI, or metadata generator.",discovery-score:55,68cecb23fbe7e9eb
99766ffdafbaeee247024ec5,mbarbine__Scripts,discovery,"discovery,automation,process",feed,discovery,deployment,deployment,helm/HHLP/bandwidth/HelmCharts/helm/feedback/templates/deployment.yaml,.yaml,46,,,,unknown,unknown,65,55,catalog-only,True,secondary,secondary,none,"Discovery component for discovery; review for shared sitemap, feed, llms, OpenAPI, or metadata generator.",discovery-score:55 | automation-score:50 | process-score:45,302a41088f711f38
9b84eeb0de9aac0eb41ea460,mbarbine__Scripts,discovery,discovery,feed,discovery,test-connection,test-connection,helm/HHLP/bandwidth/HelmCharts/helm/feedback/templates/tests/test-connection.yaml,.yaml,18,,,,unknown,unknown,55,55,catalog-only,True,none,none,none,"Discovery component for discovery; review for shared sitemap, feed, llms, OpenAPI, or metadata generator.",discovery-score:55,68cecb23fbe7e9eb
178b39c9b481675491c9a710,mbarbine__Scripts,discovery,discovery,feed,discovery,test-connection,test-connection,helm/HHLP/HelmCharts/helm/feedback/templates/tests/test-connection.yaml,.yaml,18,,,,unknown,unknown,55,55,catalog-only,True,none,none,none,"Discovery component for discovery; review for shared sitemap, feed, llms, OpenAPI, or metadata generator.",discovery-score:55,68cecb23fbe7e9eb
11d85b526061134f54191aad,mbarbine__airrow-commuter-balloon,discovery,discovery,sitemap,discovery,sitemap-check.test,sitemap-check,tests/sitemap-check.test.ts,.ts,19,,"fs,path,vitest","fs,path,vitest",next-react,pnpm,65,55,catalog-only,True,none,none,none,"Discovery component for discovery; review for shared sitemap, feed, llms, OpenAPI, or metadata generator.","imports:fs, path, vitest | discovery-score:55",94164a7e53a163e0
38ae98bfed449d81dd6c6d30,mbarbine__airrow-commuter-balloon,discovery,discovery,discovery-artifact,discovery,manifest,manifest,public/manifest.json,.json,21,,,,next-react,pnpm,55,55,catalog-only,False,none,none,none,"Discovery component for discovery; review for shared sitemap, feed, llms, OpenAPI, or metadata generator.",discovery-score:55,b7b16a001046bead
38a4953cc107c327f5d394ae,mbarbine__airrow-commuter-balloon,discovery,discovery,llms-discovery,ai,llms-index,llms-index,public/llms-index.json,.json,10,,,,next-react,pnpm,50,55,catalog-only,True,none,none,none,"Discovery component for ai; review for shared sitemap, feed, llms, OpenAPI, or metadata generator.",discovery-score:55,40268d72e84360e3
1ab9829a859aaef27ad945d6,mbarbine__automotive-flamethrower-webby,discovery,discovery,llms-discovery,ai,llms-index,llms-index,public/llms-index.json,.json,15,,,,next-react,pnpm,55,55,catalog-only,False,none,none,none,"Discovery component for ai; review for shared sitemap, feed, llms, OpenAPI, or metadata generator.",discovery-score:55,80a9a9640e25e708
b2d7b290da3ed416a69e4f8a,mbarbine__barbineworldwide-2026-metahack,discovery,discovery,discovery-artifact,ai,robots.test,robots,__tests__/app/robots.test.ts,.ts,65,,"@/app/robots,vitest","@/app,vitest",next-react,pnpm,75,45,site-specific-or-low-confidence,False,none,none,none,"Discovery component for ai; review for shared sitemap, feed, llms, OpenAPI, or metadata generator.","imports:@/app/robots, vitest | discovery-score:55 | model-provider",1aee42213f1eb0f7
dd68923b711057b55d9946cc,mbarbine__beer-museum-manager-www,discovery,discovery,discovery-artifact,discovery,manifest,manifest,public/manifest.json,.json,24,,,,next-react,pnpm,55,55,catalog-only,False,none,none,none,"Discovery component for discovery; review for shared sitemap, feed, llms, OpenAPI, or metadata generator.",discovery-score:55,adb0d2cbc93dab29
e98758fc0e27cec539065780,mbarbine__car-service-records,discovery,discovery,discovery-artifact,discovery,manifest,manifest,public/manifest.json,.json,32,,,,next-react,pnpm,55,55,catalog-only,False,none,none,none,"Discovery component for discovery; review for shared sitemap, feed, llms, OpenAPI, or metadata generator.",discovery-score:55,d1cc9141bd6755ba
abe46714249b3b952b695700,mbarbine__fashion-sadiepass-WWW,discovery,discovery,llms-discovery,ai,llms.test,llms,__tests__/llms.test.ts,.ts,18,,"fs,path","fs,path",svelte,pnpm,65,55,catalog-only,False,none,none,none,"Discovery component for ai; review for shared sitemap, feed, llms, OpenAPI, or metadata generator.","imports:fs, path | discovery-score:55",fb122a95bec31f5e
d76d37fc508575fdeda17b4c,mbarbine__fortune-cookie-webby-yj,discovery,discovery,sitemap,discovery,manifest-and-sitemap.test,manifest-and-sitemap,tests/manifest-and-sitemap.test.ts,.ts,73,,"@/app/manifest,@/app/sitemap,vitest","@/app,vitest",next-react,pnpm,65,45,site-specific-or-low-confidence,False,none,none,none,"Discovery component for discovery; review for shared sitemap, feed, llms, OpenAPI, or metadata generator.","imports:@/app/manifest, @/app/sitemap, vitest | discovery-score:55",2bafc07e740f859a
8fba70f01feb35d9255d03fe,mbarbine__gta-6-countdown-webby,discovery,discovery,sitemap,discovery,sitemap.test,sitemap,tests/sitemap.test.ts,.ts,15,,../app/sitemap,,next-react,pnpm,65,55,catalog-only,True,none,none,none,"Discovery component for discovery; review for shared sitemap, feed, llms, OpenAPI, or metadata generator.",imports:../app/sitemap | discovery-score:55,4630eef721526735
df40c909f3f643721532e56c,mbarbine__gta-6-countdown-webby,discovery,discovery,discovery-artifact,ai,robots.test,robots,tests/robots.test.ts,.ts,15,,../app/robots,,next-react,pnpm,65,55,catalog-only,False,none,none,none,"Discovery component for ai; review for shared sitemap, feed, llms, OpenAPI, or metadata generator.",imports:../app/robots | discovery-score:55,bbaa314d547ec508
5fd1941902df2a67632c4d55,mbarbine__gta-6-countdown-webby,discovery,discovery,discovery-artifact,discovery,manifest,manifest,public/manifest.json,.json,37,,,,next-react,pnpm,55,55,catalog-only,False,none,none,none,"Discovery component for discovery; review for shared sitemap, feed, llms, OpenAPI, or metadata generator.",discovery-score:55,90fbd1555ef400d7
ea90e03f5c5b016aae1b0e80,mbarbine__gta-6-countdown-webby,discovery,discovery,discovery-artifact,ai,network.manifest,network-manifest,public/network.manifest.json,.json,34,,,,next-react,pnpm,55,55,catalog-only,True,none,none,none,"Discovery component for ai; review for shared sitemap, feed, llms, OpenAPI, or metadata generator.",discovery-score:55,480db74f6a6a55d2
75c4b4cf9b1e76cbabe5ca3e,mbarbine__ja4mlab,discovery,discovery,discovery-artifact,ai,robots,robots,packages/shared-http/src/robots.ts,.ts,4,buildRobotsTxt,,,unknown,python,65,50,catalog-only,False,none,none,none,"Discovery component for ai; review for shared sitemap, feed, llms, OpenAPI, or metadata generator.",exports:buildRobotsTxt | discovery-score:55,3f260624e60825c9
d5dd575e4ede9d33c089e864,mbarbine__ja4mlab,discovery,discovery,sitemap,discovery,sitemap,sitemap,packages/shared-http/src/sitemap.ts,.ts,24,"SitemapUrl,buildSitemapXml",,,unknown,python,70,55,catalog-only,False,none,none,none,"Discovery component for discovery; review for shared sitemap, feed, llms, OpenAPI, or metadata generator.","exports:SitemapUrl, buildSitemapXml | discovery-score:55",4e8f0dbe6f1692a2
914db294b0371d7390b3c906,mbarbine__ja4mlab,discovery,discovery,discovery-artifact,mcp,024-session-expiry-reinit,024-session-expiry-reinit,scenarios/manifests/024-session-expiry-reinit.json,.json,16,,,,unknown,python,55,55,catalog-only,True,none,none,none,"Discovery component for mcp; review for shared sitemap, feed, llms, OpenAPI, or metadata generator.",discovery-score:55,78fac133f1f10cf0
14236078314789f8229d392b,mbarbine__ja4mlab,discovery,discovery,discovery-artifact,mcp,020-sse-subscribe,020-sse-subscribe,scenarios/manifests/020-sse-subscribe.json,.json,16,,,,unknown,python,55,55,catalog-only,True,none,none,none,"Discovery component for mcp; review for shared sitemap, feed, llms, OpenAPI, or metadata generator.",discovery-score:55,a702e5ff7a45e5a7
c517108e482686d866516d92,mbarbine__ja4mlab,discovery,discovery,discovery-artifact,mcp,021-sse-resume,021-sse-resume,scenarios/manifests/021-sse-resume.json,.json,16,,,,unknown,python,55,55,catalog-only,True,none,none,none,"Discovery component for mcp; review for shared sitemap, feed, llms, OpenAPI, or metadata generator.",discovery-score:55,a758f1dd4611eeb1
fcf6491c816f6379ebd0381e,mbarbine__ja4mlab,discovery,discovery,discovery-artifact,mcp,041-openclaw-streaming,041-openclaw-streaming,scenarios/manifests/041-openclaw-streaming.json,.json,16,,,,unknown,python,55,55,catalog-only,True,none,none,none,"Discovery component for mcp; review for shared sitemap, feed, llms, OpenAPI, or metadata generator.",discovery-score:55,763cfed157e8ae4e
346a8a6b474a43da6fb7eff4,mbarbine__ja4mlab,discovery,discovery,discovery-artifact,mcp,025-session-misuse,025-session-misuse,scenarios/manifests/025-session-misuse.json,.json,16,,,,unknown,python,55,55,catalog-only,True,none,none,none,"Discovery component for mcp; review for shared sitemap, feed, llms, OpenAPI, or metadata generator.",discovery-score:55,18636893a0ef88cf
072b040eacf20f07d0fa2f4e,mbarbine__ja4mlab,discovery,discovery,discovery-artifact,mcp,030-no-initialize,030-no-initialize,scenarios/manifests/030-no-initialize.json,.json,16,,,,unknown,python,55,55,catalog-only,True,none,none,none,"Discovery component for mcp; review for shared sitemap, feed, llms, OpenAPI, or metadata generator.",discovery-score:55,74823a389542c552
914b246c97d9e3e7108ffd60,mbarbine__ja4mlab,discovery,discovery,discovery-artifact,mcp,004-capability-consistency,004-capability-consistency,scenarios/manifests/004-capability-consistency.json,.json,16,,,,unknown,python,55,55,catalog-only,True,none,none,none,"Discovery component for mcp; review for shared sitemap, feed, llms, OpenAPI, or metadata generator.",discovery-score:55,a5008d6fd56cd8c4
