component_id,repo,primary_category,categories,component_kind,capability,name,normalized_name,path,extension,lines,exports,imports,dependency_roots,framework,package_manager,confidence,reuse_score,extraction_status,ai_scaffold_recommended,process_relevance,automation_relevance,logic_relevance,description,evidence,file_hash
6888a32047a4051b761de294,mbarbine__Scripts,integration,"integration,observability,security,automation",integration-module,observability,lookupsid,lookupsid,python/lookupsid.py,.py,199,LSALookupSid,"__future__,argparse,codecs,getpass,impacket,impacket.dcerpc.v5,impacket.dcerpc.v5.dtypes,impacket.dcerpc.v5.rpcrt,impacket.dcerpc.v5.samr,impacket.examples,logging,re,sys,traceback","__future__,argparse,codecs,getpass,impacket,impacket.dcerpc.v5,impacket.dcerpc.v5.dtypes,impacket.dcerpc.v5.rpcrt,impacket.dcerpc.v5.samr,impacket.examples,logging,re,sys,traceback",python,unknown,90,55,catalog-only,True,none,secondary,none,"Integration component for observability; review for shared connector, webhook, API client, or protocol adapter.","exports:LSALookupSid | imports:__future__, argparse, codecs, getpass, impacket, impacket.dcerpc.v5, impacket.dcerpc.v5.dtypes, impacket.dcerpc.v5.rpcrt | integration-score:55 | observability-score:55 | security-score:55 | automation-score:45",43c8d893745dcdc1
c1529ad7578e64c470017ec8,mbarbine__Scripts,integration,"integration,automation",integration-module,ai,date-range-test,date-range-test,ansible/magento/magento2/repos/magento2/dev/tests/js/JsTestDriver/testsuite/mage/calendar/date-range-test.js,.js,63,,,,unknown,unknown,65,55,catalog-only,False,none,secondary,none,"Integration component for ai; review for shared connector, webhook, API client, or protocol adapter.",integration-score:55 | automation-score:50,6e53adb1d7683906
9eebc99087820112b468d382,mbarbine__Scripts,integration,"integration,automation",integration-module,ai,calendar-qunit,calendar-qunit,ansible/magento/magento2/repos/magento2/dev/tests/js/JsTestDriver/testsuite/mage/calendar/calendar-qunit.js,.js,77,,,,unknown,unknown,65,55,catalog-only,False,none,secondary,none,"Integration component for ai; review for shared connector, webhook, API client, or protocol adapter.",integration-score:55 | automation-score:50,856a77c5c21d4c93
3dbdc2e98dc95aafa9bc9144,mbarbine__Scripts,integration,"integration,automation",integration-module,ai,calendar-test,calendar-test,ansible/magento/magento2/repos/magento2/dev/tests/js/JsTestDriver/testsuite/mage/calendar/calendar-test.js,.js,102,,,,unknown,unknown,65,55,catalog-only,False,none,secondary,none,"Integration component for ai; review for shared connector, webhook, API client, or protocol adapter.",integration-score:55 | automation-score:50,925ff1aa83c23852
93649d77abfcf86f9ac0b1a4,mbarbine__autographed-bibles-webby,integration,"integration,security,ai",integration-module,auth-and-keys,stripe,stripe,app/actions/stripe.ts,.ts,75,,"@/app/actions/bibles,@/lib/products,@/lib/stripe","@/app,@/lib",next-react,pnpm,85,45,site-specific-or-low-confidence,True,none,none,none,"Integration component for auth-and-keys; review for shared connector, webhook, API client, or protocol adapter.","imports:@/app/actions/bibles, @/lib/products, @/lib/stripe | integration-score:55 | security-score:55 | ai-score:45",31aaac4d768c317c
cbad3f79cff8500059542ada,mbarbine__autographed-bibles-webby,integration,"integration,observability,security",integration-module,ai,stripe.test,stripe,__tests__/stripe.test.ts,.ts,85,MockStripe,"@/app/actions/stripe,@/lib/stripe,vitest","@/app,@/lib,vitest",next-react,pnpm,90,40,site-specific-or-low-confidence,True,none,none,none,"Integration component for ai; review for shared connector, webhook, API client, or protocol adapter.","exports:MockStripe | imports:@/app/actions/stripe, @/lib/stripe, vitest | integration-score:55 | observability-score:55 | security-score:55 | uses-env",889db6b48a31f861
fab0d2a8ed19995ecd20fcaf,mbarbine__autographed-bibles-webby,integration,"integration,security,logic",integration-module,auth-and-keys,stripe,stripe,lib/stripe.ts,.ts,5,stripe,stripe,stripe,next-react,pnpm,95,45,site-specific-or-low-confidence,True,none,none,secondary,"Integration component for auth-and-keys; review for shared connector, webhook, API client, or protocol adapter.",exports:stripe | imports:stripe | integration-score:55 | security-score:55 | logic-score:45 | uses-env,7275bf3d7426afc5
c1082d66124d43f9d37cde21,mbarbine__automotive-flamethrower-webby,integration,integration,mcp,mcp,mcp,mcp,public/.well-known/mcp.json,.json,7,,,,next-react,pnpm,50,50,catalog-only,True,none,none,none,"Integration component for mcp; review for shared connector, webhook, API client, or protocol adapter.",integration-score:55,20d3f685ad475a48
bb9d7f85443499f73c509a07,mbarbine__calendar-app-webby,integration,"integration,observability,security",integration-module,observability,local-calendar-storage,local-calendar-storage,hooks/local-calendar-storage.ts,.ts,211,"LOCAL_CALENDAR,LOCAL_CALENDAR_ID,isIndexedDbAvailable","@/lib/constants,@/lib/types",@/lib,next-react,pnpm,90,40,site-specific-or-low-confidence,True,none,none,none,"Integration component for observability; review for shared connector, webhook, API client, or protocol adapter.","exports:LOCAL_CALENDAR, LOCAL_CALENDAR_ID, isIndexedDbAvailable | imports:@/lib/constants, @/lib/types | integration-score:55 | observability-score:55 | security-score:55",cd856a4cdf90d81a
2c05206aa1d506836fea1bae,mbarbine__fashion-sadiepass-WWW,integration,"integration,observability",mcp,mcp,mcp.test,mcp,__tests__/mcp.test.ts,.ts,33,,../app/api/mcp-registration/route,,svelte,pnpm,75,55,catalog-only,True,none,none,none,"Integration component for mcp; review for shared connector, webhook, API client, or protocol adapter.",imports:../app/api/mcp-registration/route | integration-score:55 | observability-score:55,c05d89b882c5dffb
dfb667fa3234345612374b9d,mbarbine__fortune-cookie-webby-yj,integration,"integration,observability",integration-module,observability,fortune-history-calendar.test,fortune-history-calendar,tests/fortune-history-calendar.test.ts,.ts,180,,vitest,vitest,next-react,pnpm,75,55,catalog-only,True,none,none,none,"Integration component for observability; review for shared connector, webhook, API client, or protocol adapter.",imports:vitest | integration-score:55 | observability-score:55,200849df43fe2c3a
c3286d5cbfe01fc2706c6114,mbarbine__hot-chocolate-for-profit-webby,integration,"integration,observability,security,ai",integration-module,auth-and-keys,stripe,stripe,app/actions/stripe.ts,.ts,54,,"@/lib/products,@/lib/stripe",@/lib,next-react,pnpm,85,45,site-specific-or-low-confidence,True,none,none,none,"Integration component for auth-and-keys; review for shared connector, webhook, API client, or protocol adapter.","imports:@/lib/products, @/lib/stripe | integration-score:55 | observability-score:55 | security-score:55 | ai-score:45",a645253b3b56f728
9d2d721cb8ad1f277b46f3df,mbarbine__hot-chocolate-for-profit-webby,integration,"integration,security,logic",integration-module,auth-and-keys,stripe,stripe,lib/stripe.ts,.ts,5,stripe,stripe,stripe,next-react,pnpm,95,45,site-specific-or-low-confidence,True,none,none,secondary,"Integration component for auth-and-keys; review for shared connector, webhook, API client, or protocol adapter.",exports:stripe | imports:stripe | integration-score:55 | security-score:55 | logic-score:45 | uses-env,41603e676c37b18b
405e8c47ad922610c82ad918,mbarbine__ja4mlab,integration,"integration,observability,security,automation,ai",mcp,observability,gen_mcp_pcap_complete,gen-mcp-pcap-complete,tools/pcap/gen_mcp_pcap_complete.py,.py,511,"build_dns_query,build_dns_response,build_http,build_sessions_for_iteration,checksum,ethernet_frame,generate_pcap,ip_header,main,mcp_headers,tcp_packet,udp_packet","argparse,random,struct,time","argparse,random,struct,time",python,python,90,40,site-specific-or-low-confidence,True,none,secondary,none,"Integration component for observability; review for shared connector, webhook, API client, or protocol adapter.","exports:build_dns_query, build_dns_response, build_http, build_sessions_for_iteration, checksum, ethernet_frame, generate_pcap, ip_header | imports:argparse, random, struct, time | integration-score:55 | observability-score:55 | security-score:55 | automation-score:45 | ai-score:45",80ce55351690915a
d2a9a18456d5468da11f4d60,mbarbine__ja4mlab,integration,integration,mcp,mcp,package,package,packages/shared-mcp/package.json,.json,5,,,,unknown,python,50,50,catalog-only,True,none,none,none,"Integration component for mcp; review for shared connector, webhook, API client, or protocol adapter.",integration-score:55,34d8a09037a28d20
abd945e92b30cb41f87421fd,mbarbine__ja4mlab,integration,integration,mcp,mcp,callbacks,callbacks,packages/shared-mcp/src/callbacks.ts,.ts,14,"buildProgressCallback,buildServerCallback",./types,,unknown,python,80,55,catalog-only,True,none,none,none,"Integration component for mcp; review for shared connector, webhook, API client, or protocol adapter.","exports:buildProgressCallback, buildServerCallback | imports:./types | integration-score:55",06bd9392b4010c6f
f63c878e7d43bcc5026a585e,mbarbine__ja4mlab,integration,"integration,security,ai",mcp,ai,lifecycle,lifecycle,packages/shared-mcp/src/lifecycle.ts,.ts,34,"LifecycleClass,classifyLifecycle,classifySession",./types,,unknown,python,90,55,catalog-only,True,none,none,none,"Integration component for ai; review for shared connector, webhook, API client, or protocol adapter.","exports:LifecycleClass, classifyLifecycle, classifySession | imports:./types | integration-score:55 | security-score:55 | ai-score:45",59574e4a3988d613
b804ba454c70d7da3d942d3b,mbarbine__ja4mlab,integration,integration,mcp,mcp,sse,sse,packages/shared-mcp/src/sse.ts,.ts,18,"SseEvent,formatSseEvent,parseLastEventId",,,unknown,python,70,55,catalog-only,True,none,none,none,"Integration component for mcp; review for shared connector, webhook, API client, or protocol adapter.","exports:SseEvent, formatSseEvent, parseLastEventId | integration-score:55",6a0bd22fd61387a7
fa206751933e596e9a56e538,mbarbine__ja4mlab,integration,"integration,observability",mcp,mcp,types,types,packages/shared-mcp/src/types.ts,.ts,50,"DEFAULT_MCP_PROTOCOL_VERSION,JSON_RPC_VERSION,JsonRpcError,JsonRpcId,JsonRpcNotification,JsonRpcRequest,JsonRpcResponse,McpLifecycleState,McpSession,McpValidationResult",,,unknown,python,80,55,catalog-only,True,none,none,none,"Integration component for mcp; review for shared connector, webhook, API client, or protocol adapter.","exports:DEFAULT_MCP_PROTOCOL_VERSION, JSON_RPC_VERSION, JsonRpcError, JsonRpcId, JsonRpcNotification, JsonRpcRequest, JsonRpcResponse, McpLifecycleState | integration-score:55 | observability-score:55",0b844eb141010a4a
1e43097d5247792fba276245,mbarbine__ja4mlab,integration,integration,mcp,mcp,index,index,packages/shared-mcp/src/index.ts,.ts,6,,"./callbacks,./lifecycle,./sessions,./sse,./types,./validation",,unknown,python,60,50,catalog-only,True,none,none,none,"Integration component for mcp; review for shared connector, webhook, API client, or protocol adapter.","imports:./callbacks, ./lifecycle, ./sessions, ./sse, ./types, ./validation | integration-score:55",2c48aae41cf6c429
0463dae7849e4fe1a15d1b11,mbarbine__ja4mlab,integration,integration,mcp,mcp,sessions,sessions,packages/shared-mcp/src/sessions.ts,.ts,70,"McpSessionStore,SessionStoreOptions","./types,node:crypto",node:crypto,unknown,python,80,55,catalog-only,True,none,none,none,"Integration component for mcp; review for shared connector, webhook, API client, or protocol adapter.","exports:McpSessionStore, SessionStoreOptions | imports:./types, node:crypto | integration-score:55",0d05494246a99feb
d7635617f266860d6e58cf2d,mbarbine__ja4mlab,integration,"integration,observability,security,discovery",mcp,observability,083-openclaw-runtime-acp-mcporter,083-openclaw-runtime-acp-mcporter,scenarios/manifests/083-openclaw-runtime-acp-mcporter.json,.json,52,,,,unknown,python,65,55,catalog-only,True,none,none,none,"Integration component for observability; review for shared connector, webhook, API client, or protocol adapter.",integration-score:55 | observability-score:55 | security-score:55 | discovery-score:55,b9620b3f0bb6c932
43c0ef9c2bb7297f9928181d,mbarbine__legacy-platphorm-news,integration,"integration,automation",integration-module,deployment,vercel,vercel,src/vercel.json,.json,4,,,,svelte,unknown,60,50,catalog-only,False,none,secondary,none,"Integration component for deployment; review for shared connector, webhook, API client, or protocol adapter.",integration-score:55 | automation-score:50,351b0b87623e8fa1
