component_id,repo,primary_category,categories,component_kind,capability,name,normalized_name,path,extension,lines,exports,imports,dependency_roots,framework,package_manager,confidence,reuse_score,extraction_status,ai_scaffold_recommended,process_relevance,automation_relevance,logic_relevance,description,evidence,file_hash
e113da4f76cb9074902abcc6,mbarbine__2025-year-in-review-webby,logic,logic,utility,design-system,utils,utils,lib/utils.ts,.ts,6,cn,"clsx,tailwind-merge","clsx,tailwind-merge",next-react,pnpm,85,90,shared-logic-candidate,False,none,none,primary,"Logic component for design-system; review for shared parser, validator, transformer, state, scoring, or domain utility.","exports:cn | imports:clsx, tailwind-merge | logic-score:85",e46429536f43f591
46a6058963f7d89109c20d13,mbarbine__FlaskFlow-www,logic,logic,utility,design-system,utils,utils,lib/utils.ts,.ts,6,cn,"clsx,tailwind-merge","clsx,tailwind-merge",next-react,pnpm,85,90,shared-logic-candidate,False,none,none,primary,"Logic component for design-system; review for shared parser, validator, transformer, state, scoring, or domain utility.","exports:cn | imports:clsx, tailwind-merge | logic-score:85",7c8c3dfc0cdd370d
882d7c1f22c1f6a9e0f5d0f3,mbarbine__Joshs-magnets-landing-page,logic,logic,utility,design-system,utils,utils,lib/utils.ts,.ts,6,cn,"clsx,tailwind-merge","clsx,tailwind-merge",next-react,pnpm,85,90,shared-logic-candidate,False,none,none,primary,"Logic component for design-system; review for shared parser, validator, transformer, state, scoring, or domain utility.","exports:cn | imports:clsx, tailwind-merge | logic-score:85",e46429536f43f591
08b8cbb9cffee53471fdcc28,mbarbine__LogSlash-w6,logic,logic,utility,design-system,utils,utils,lib/utils.ts,.ts,6,cn,"clsx,tailwind-merge","clsx,tailwind-merge",next-react,pnpm,85,90,shared-logic-candidate,True,none,none,primary,"Logic component for design-system; review for shared parser, validator, transformer, state, scoring, or domain utility.","exports:cn | imports:clsx, tailwind-merge | logic-score:85",e46429536f43f591
f0adce72a9467fd907216787,mbarbine__PH3AR-WEBBY,logic,"logic,frontend,ui,observability,security",feature-ui,observability,SecretModal,secret-modal,src/lib/SecretModal.svelte,.svelte,267,SECRET_LENGTH,"$app/environment,svelte,svelte/transition","$app,svelte",svelte,bun,100,65,shared-logic-candidate,True,none,none,primary,"Logic component for observability; review for shared parser, validator, transformer, state, scoring, or domain utility.","exports:SECRET_LENGTH | imports:$app/environment, svelte, svelte/transition | logic-score:70 | frontend-score:60 | ui-score:55 | observability-score:55 | security-score:55",90932a2aa874c68f
1241a4466032a25cec1c9ec4,mbarbine__PH3AR-WEBBY,logic,"logic,observability,security,process,automation",business-logic,observability,vitals.spec,vitals,src/lib/vitals.spec.js,.js,278,Blob,"./vitals.js,vitest",vitest,svelte,bun,100,65,shared-logic-candidate,True,secondary,secondary,primary,"Logic component for observability; review for shared parser, validator, transformer, state, scoring, or domain utility.","exports:Blob | imports:./vitals.js, vitest | logic-score:85 | observability-score:55 | security-score:55 | process-score:45 | automation-score:45",f7efb2086bc97ad0
5e366f013d293264efeb92f5,mbarbine__PH3AR-WEBBY,logic,logic,business-logic,analytics,types,types,src/lib/types.ts,.ts,4,LayoutServerData,,,svelte,bun,75,50,catalog-only,True,none,none,primary,"Logic component for analytics; review for shared parser, validator, transformer, state, scoring, or domain utility.",exports:LayoutServerData | logic-score:70,760df8b488e588f2
bae3bb3dbbd0187540d9cb33,mbarbine__PH3AR-WEBBY,logic,"logic,observability,security,automation",business-logic,observability,vitals,vitals,src/lib/vitals.js,.js,63,webVitals,web-vitals,web-vitals,svelte,bun,100,70,shared-logic-candidate,True,none,secondary,primary,"Logic component for observability; review for shared parser, validator, transformer, state, scoring, or domain utility.",exports:webVitals | imports:web-vitals | logic-score:85 | observability-score:55 | security-score:55 | automation-score:45,1c6fd14ad390d41c
74694eed2ed80db08ea550e9,mbarbine__PH3AR-WEBBY,logic,"logic,observability,security,process",business-logic,observability,SecretModal.spec,secret-modal,src/lib/SecretModal.spec.ts,.ts,11,,bun:test,bun:test,svelte,bun,85,70,shared-logic-candidate,True,secondary,none,primary,"Logic component for observability; review for shared parser, validator, transformer, state, scoring, or domain utility.",imports:bun:test | logic-score:60 | observability-score:55 | security-score:55 | process-score:45,2ed875ab9b6a79ea
0bd16c2c8c1b783b8cc68c6c,mbarbine__PH3AR-WEBBY,logic,logic,business-logic,testing,web-vitals,web-vitals,src/lib/__mocks__/web-vitals.js,.js,6,"onCLS,onFCP,onFID,onLCP,onTTFB",vitest,vitest,svelte,bun,85,50,catalog-only,False,none,none,primary,"Logic component for testing; review for shared parser, validator, transformer, state, scoring, or domain utility.","exports:onCLS, onFCP, onFID, onLCP, onTTFB | imports:vitest | logic-score:45",99dcc8a504cc7005
