component_id,repo,primary_category,categories,component_kind,capability,name,normalized_name,path,extension,lines,exports,imports,dependency_roots,framework,package_manager,confidence,reuse_score,extraction_status,ai_scaffold_recommended,process_relevance,automation_relevance,logic_relevance,description,evidence,file_hash
2b780875bc3fdd5043cfdff7,mbarbine__2025-year-in-review-webby,observability,"observability,security,automation",observability-module,observability,pnpm-lock,pnpm-lock,pnpm-lock.yaml,.yaml,3325,,,,next-react,pnpm,65,35,site-specific-or-low-confidence,True,none,secondary,none,"Observability component for observability; review for shared tracing, logging, health, or telemetry helper.",observability-score:55 | security-score:55 | automation-score:45,88756a3156c89418
7df85ac80e5fa943e5c85d4e,mbarbine__2025-year-in-review-webby,observability,"observability,security,automation",observability-module,observability,package,package,package.json,.json,76,,,,next-react,pnpm,65,55,catalog-only,True,none,secondary,none,"Observability component for observability; review for shared tracing, logging, health, or telemetry helper.",observability-score:55 | security-score:55 | automation-score:45,71c6884c9c9b6cc3
166fbbcf3dbb8f11635c1a04,mbarbine__FlaskFlow-www,observability,"observability,security",observability-module,observability,pnpm-lock,pnpm-lock,pnpm-lock.yaml,.yaml,3222,,,,next-react,pnpm,65,35,site-specific-or-low-confidence,True,none,none,none,"Observability component for observability; review for shared tracing, logging, health, or telemetry helper.",observability-score:55 | security-score:55,ef953e83fa2ad98c
6da8a238e71c45b980288ccc,mbarbine__FlaskFlow-www,observability,"observability,security",observability-module,observability,package,package,package.json,.json,73,,,,next-react,pnpm,65,55,catalog-only,True,none,none,none,"Observability component for observability; review for shared tracing, logging, health, or telemetry helper.",observability-score:55 | security-score:55,fc75af5f451557d1
5f63fe48a8025d69c51c3c8e,mbarbine__Joshs-magnets-landing-page,observability,"observability,security,automation",observability-module,observability,pnpm-lock,pnpm-lock,pnpm-lock.yaml,.yaml,4434,,,,next-react,pnpm,65,35,site-specific-or-low-confidence,True,none,secondary,none,"Observability component for observability; review for shared tracing, logging, health, or telemetry helper.",observability-score:55 | security-score:55 | automation-score:45,f85a67c547a5f72b
5690f2c1829e6ebd8b2e57f1,mbarbine__Joshs-magnets-landing-page,observability,"observability,security,automation",observability-module,observability,package,package,package.json,.json,80,,,,next-react,pnpm,65,55,catalog-only,True,none,secondary,none,"Observability component for observability; review for shared tracing, logging, health, or telemetry helper.",observability-score:55 | security-score:55 | automation-score:45,a46e8c2e43b2553a
de5af106976ede5f818a6cdf,mbarbine__LogSlash-w6,observability,"observability,security,automation",observability-module,observability,pnpm-lock,pnpm-lock,pnpm-lock.yaml,.yaml,3233,,,,next-react,pnpm,65,35,site-specific-or-low-confidence,True,none,secondary,none,"Observability component for observability; review for shared tracing, logging, health, or telemetry helper.",observability-score:55 | security-score:55 | automation-score:45,494f1637c978b1c2
d10bad0b5bdda91b5ff4eec7,mbarbine__LogSlash-w6,observability,"observability,security,automation",observability-module,observability,package,package,package.json,.json,73,,,,next-react,pnpm,65,55,catalog-only,True,none,secondary,none,"Observability component for observability; review for shared tracing, logging, health, or telemetry helper.",observability-score:55 | security-score:55 | automation-score:45,f824c8e3409a7d65
93e5a3ee2e1dd05d1d5e41a6,mbarbine__PH3AR-WEBBY,observability,"observability,automation",observability-module,deployment,svelte.config,svelte-config,svelte.config.js,.js,45,,"@sveltejs/adapter-vercel,@sveltejs/kit,path,svelte-preprocess","@sveltejs/adapter-vercel,@sveltejs/kit,path,svelte-preprocess",svelte,bun,75,55,catalog-only,True,none,secondary,none,"Observability component for deployment; review for shared tracing, logging, health, or telemetry helper.","imports:@sveltejs/adapter-vercel, @sveltejs/kit, path, svelte-preprocess | observability-score:55 | automation-score:45",52db0d28ce024d25
dd422ebb64cc8b9adb5cf37a,mbarbine__PH3AR-WEBBY,observability,observability,observability-module,observability,debug_watch_this,debug-watch-this,debug_watch_this.py,.py,36,run,"playwright.sync_api,time","playwright.sync_api,time",svelte,bun,80,55,catalog-only,True,none,none,none,"Observability component for observability; review for shared tracing, logging, health, or telemetry helper.","exports:run | imports:playwright.sync_api, time | observability-score:55",62d0acfeae90d19b
