component_id,repo,primary_category,categories,component_kind,capability,name,normalized_name,path,extension,lines,exports,imports,dependency_roots,framework,package_manager,confidence,reuse_score,extraction_status,ai_scaffold_recommended,process_relevance,automation_relevance,logic_relevance,description,evidence,file_hash
9ccd8f8542878c18bb78f849,mbarbine__PH3AR-WEBBY,security,security,security-module,ai,env,env,src/__mocks__/env.js,.js,4,env,,,svelte,bun,65,50,catalog-only,False,none,none,none,"Security component for ai; review for shared auth, key handling, fingerprinting, or trust signal module.",exports:env | security-score:55 | model-provider,266baf8f6164019e
c3db3dc795145e975ed6200c,mbarbine__Scripts,security,security,security-module,auth-and-keys,Contents,contents,h4x/dagah-ios/Assets.xcassets/AppIcon.appiconset/Contents.json,.json,93,,,,unknown,unknown,55,55,catalog-only,True,none,none,none,"Security component for auth-and-keys; review for shared auth, key handling, fingerprinting, or trust signal module.",security-score:55,c14cb0cf778c7343
d9f967517b3adeb0266d7fa4,mbarbine__Scripts,security,security,security-module,auth-and-keys,kumar_asshole,kumar-asshole,nodejs/kumar_asshole.js,.js,113,,"imap,mailparser,nodemailer","imap,mailparser,nodemailer",unknown,unknown,65,50,catalog-only,True,none,none,none,"Security component for auth-and-keys; review for shared auth, key handling, fingerprinting, or trust signal module.","imports:imap, mailparser, nodemailer | security-score:55 | uses-env",dea5e285d7b9b6ed
de0a9ae260b8b26bbcc91967,mbarbine__Scripts,security,"security,ai",security-module,auth-and-keys,smack_my_bitch_up,smack-my-bitch-up,go/smack_my_bitch_up.go,.go,38,,,,go,unknown,65,55,catalog-only,True,none,none,none,"Security component for auth-and-keys; review for shared auth, key handling, fingerprinting, or trust signal module.",security-score:55 | ai-score:45,bf714f5ef70454a2
04581ed309c01ec9a4455a78,mbarbine__Scripts,security,"security,automation",security-module,auth-and-keys,__opsclick__,opsclick,SORT/OpsClick_BE_Ansible/clouds/digitalocean/__opsclick__.py,.py,38,,,,python,unknown,65,55,catalog-only,False,none,secondary,none,"Security component for auth-and-keys; review for shared auth, key handling, fingerprinting, or trust signal module.",security-score:55 | automation-score:50,bb60d7676babe9c4
a13ace2cc936eabb43fff6fd,mbarbine__Scripts,security,"security,automation",security-module,auth-and-keys,main,main,SORT/OpsClick_BE_Ansible/clouds/digitalocean/main.yml,.yml,8,,,,unknown,unknown,60,50,catalog-only,False,none,secondary,none,"Security component for auth-and-keys; review for shared auth, key handling, fingerprinting, or trust signal module.",security-score:55 | automation-score:50,f4d5ebc4aea35459
aec1f399a5461a4e9868e79a,mbarbine__Scripts,security,"security,automation",security-module,auth-and-keys,main,main,SORT/OpsClick_BE_Ansible/clouds/digitalocean/roles/digitalocean/tasks/main.yml,.yml,28,,,,unknown,unknown,65,55,catalog-only,False,none,secondary,none,"Security component for auth-and-keys; review for shared auth, key handling, fingerprinting, or trust signal module.",security-score:55 | automation-score:50,24e5d5cc2a4eed10
aee2fd9f90cf6b746439a62a,mbarbine__Scripts,security,"security,automation",security-module,auth-and-keys,__opsclick__,opsclick,SORT/OpsClick_BE_Ansible/clouds/aws/__opsclick__.py,.py,13,,,,python,unknown,65,55,catalog-only,False,none,secondary,none,"Security component for auth-and-keys; review for shared auth, key handling, fingerprinting, or trust signal module.",security-score:55 | automation-score:50,e7b9115d73361965
5e69ce6c161d00e89793885c,mbarbine__Scripts,security,security,security-module,auth-and-keys,local_settings,local-settings,SORT/OpsClick_website/opsclick/local_settings.py,.py,54,,,,python,unknown,55,55,catalog-only,False,none,none,none,"Security component for auth-and-keys; review for shared auth, key handling, fingerprinting, or trust signal module.",security-score:55,a22389f0e80bc386
cbbe0fe3a4a6708e39a9ad19,mbarbine__Scripts,security,"security,ai",key-management,shipping,0004_opsuser_vkey,0004-opsuser-vkey,SORT/OpsClick_website/sign_up/migrations/0004_opsuser_vkey.py,.py,20,Migration,"__future__,django.db","__future__,django.db",python,unknown,90,40,site-specific-or-low-confidence,True,none,none,none,"Security component for shipping; review for shared auth, key handling, fingerprinting, or trust signal module.","exports:Migration | imports:__future__, django.db | security-score:55 | ai-score:45",81cd875c10a5dafe
aa6cce681aee5aa45562b44c,mbarbine__Scripts,security,"security,ai",security-module,shipping,0001_initial,0001-initial,SORT/OpsClick_website/sign_up/migrations/0001_initial.py,.py,31,Migration,"__future__,django.db","__future__,django.db",python,unknown,90,40,site-specific-or-low-confidence,True,none,none,none,"Security component for shipping; review for shared auth, key handling, fingerprinting, or trust signal module.","exports:Migration | imports:__future__, django.db | security-score:55 | ai-score:45",1a5c6da1f729648a
d6b7013e85c0a240ca1e4867,mbarbine__Scripts,security,security,security-module,auth-and-keys,ec2_pricing,ec2-pricing,SORT/OpsClick_BE_Pricing/cloud_pricing/ec2_pricing.py,.py,826,"ResultsCacheBase,SimpleResultsCache,TimeBasedResultsCache,_get_args,_get_data,_load_data,dict2obj,fixup_js_literal_with_comments,get_ec2_instances_prices,get_ec2_ondemand_instances_prices,get_ec2_reserved_instances_prices,get_ec2_spot_instances_prices,get_elb_instances_prices,get_emr_instances_prices,get_price_on_demand_ec2_instance,get_prices,merge_instances,none_as_string","StringIO,__future__,argparse,collections,datetime,io,json,re,token,tokenize,urllib.request,urllib2","StringIO,__future__,argparse,collections,datetime,io,json,re,token,tokenize,urllib.request,urllib2",python,unknown,80,35,site-specific-or-low-confidence,False,none,none,none,"Security component for auth-and-keys; review for shared auth, key handling, fingerprinting, or trust signal module.","exports:ResultsCacheBase, SimpleResultsCache, TimeBasedResultsCache, _get_args, _get_data, _load_data, dict2obj, fixup_js_literal_with_comments | imports:StringIO, __future__, argparse, collections, datetime, io, json, re | security-score:55",a51132bf49799e89
a5e2bef85bf0bb6cf0d7cb40,mbarbine__Scripts,security,security,security-module,general,digital_ocean_pricing,digital-ocean-pricing,SORT/OpsClick_BE_Pricing/cloud_pricing/digital_ocean_pricing.py,.py,60,get_price_DO_droplet,json,json,python,unknown,80,40,site-specific-or-low-confidence,False,none,none,none,"Security component for general; review for shared auth, key handling, fingerprinting, or trust signal module.",exports:get_price_DO_droplet | imports:json | security-score:55,101554dfc9e3a07b
efa246d21a135685e7a08a9d,mbarbine__Scripts,security,"security,ai",security-module,auth-and-keys,settings,settings,SORT/OpsClick_BE_Pricing/cloud_pricing/settings.py,.py,120,,os,os,python,unknown,75,55,catalog-only,True,none,none,none,"Security component for auth-and-keys; review for shared auth, key handling, fingerprinting, or trust signal module.",imports:os | security-score:55 | ai-score:45,f2db89f7b164a389
069776f5bc4454f2ca3ed247,mbarbine__Scripts,security,security,security-module,auth-and-keys,views,views,SORT/OpsClick_BE_Pricing/cloud_pricing/views.py,.py,34,get_cloud_pricing,"digital_ocean_pricing,django.http,django.views.decorators.csrf,ec2_pricing,json","digital_ocean_pricing,django.http,django.views.decorators.csrf,ec2_pricing,json",python,unknown,80,55,catalog-only,True,none,none,none,"Security component for auth-and-keys; review for shared auth, key handling, fingerprinting, or trust signal module.","exports:get_cloud_pricing | imports:digital_ocean_pricing, django.http, django.views.decorators.csrf, ec2_pricing, json | security-score:55",798b33603df6b267
b08ac25cd18440496bdee0bc,mbarbine__Scripts,security,security,security-module,analytics,package,package,SORT/OpsClick_UI/package.json,.json,92,,,,unknown,unknown,55,40,site-specific-or-low-confidence,True,none,none,none,"Security component for analytics; review for shared auth, key handling, fingerprinting, or trust signal module.",security-score:55,a196a3656894f042
0157fd391b1d1889a27bb653,mbarbine__Scripts,security,security,auth,auth-and-keys,authentication.module,authentication-module,SORT/OpsClick_UI/public/app/modules/authentication/authentication.module.js,.js,7,,,,next-react,unknown,60,50,catalog-only,False,none,none,none,"Security component for auth-and-keys; review for shared auth, key handling, fingerprinting, or trust signal module.",security-score:55,a773d779183ab8c7
0530a34ee9cdc6608c28a8d7,mbarbine__Scripts,security,security,auth,auth-and-keys,auth.config,auth-config,SORT/OpsClick_UI/public/app/modules/authentication/config/auth.config.js,.js,19,,,,next-react,unknown,65,55,catalog-only,False,none,none,none,"Security component for auth-and-keys; review for shared auth, key handling, fingerprinting, or trust signal module.",security-score:55,559f1e906dcf0904
18116dd144e5d7854b6e2b3d,mbarbine__Scripts,security,security,security-module,auth-and-keys,tooltip.directive,tooltip-directive,SORT/OpsClick_UI/public/app/modules/grid/directives/tooltip.directive.js,.js,40,,,,next-react,unknown,65,55,catalog-only,False,none,none,none,"Security component for auth-and-keys; review for shared auth, key handling, fingerprinting, or trust signal module.",security-score:55,4106c9bfb33b1f72
