component_id,repo,primary_category,categories,component_kind,capability,name,normalized_name,path,extension,lines,exports,imports,dependency_roots,framework,package_manager,confidence,reuse_score,extraction_status,ai_scaffold_recommended,process_relevance,automation_relevance,logic_relevance,description,evidence,file_hash
72db0dceb11843c9aac2b0d3,mbarbine__2025-year-in-review-webby,style,"style,security",stylesheet,editor,globals,globals,app/globals.css,.css,140,,,,next-react,pnpm,75,40,shared-style-candidate,True,none,none,none,"Style component for editor; review for shared tokens, theme, palette, Tailwind, or global style normalization.",style-score:130 | security-score:55,e15dc15fe5756625
3abc284408d482258a5eb61f,mbarbine__2025-year-in-review-webby,style,style,stylesheet,editor,globals,globals,styles/globals.css,.css,125,,,,next-react,pnpm,55,40,shared-style-candidate,True,none,none,none,"Style component for editor; review for shared tokens, theme, palette, Tailwind, or global style normalization.",style-score:130,7f30dbe34b65246e
2fbabc83608ef0a3b0cc86f0,mbarbine__FlaskFlow-www,style,style,stylesheet,editor,globals,globals,app/globals.css,.css,123,,,,next-react,pnpm,65,40,shared-style-candidate,True,none,none,none,"Style component for editor; review for shared tokens, theme, palette, Tailwind, or global style normalization.",style-score:130,70029e647d2653f4
4315e6b0e1dbaac2d6435ee1,mbarbine__FlaskFlow-www,style,style,stylesheet,editor,globals,globals,styles/globals.css,.css,123,,,,next-react,pnpm,55,40,shared-style-candidate,True,none,none,none,"Style component for editor; review for shared tokens, theme, palette, Tailwind, or global style normalization.",style-score:130,679ee4df07597d57
7371ca62d6bbba94aff65b7b,mbarbine__Joshs-magnets-landing-page,style,style,stylesheet,editor,globals,globals,app/globals.css,.css,156,,,,next-react,pnpm,65,40,shared-style-candidate,True,none,none,none,"Style component for editor; review for shared tokens, theme, palette, Tailwind, or global style normalization.",style-score:130,f826462b35df765e
9bdf3e00dc4a0ac3a252abed,mbarbine__Joshs-magnets-landing-page,style,style,stylesheet,editor,globals,globals,styles/globals.css,.css,125,,,,next-react,pnpm,55,40,shared-style-candidate,True,none,none,none,"Style component for editor; review for shared tokens, theme, palette, Tailwind, or global style normalization.",style-score:130,7f30dbe34b65246e
b78693003cd3de55bc9d16a6,mbarbine__LogSlash-w6,style,style,stylesheet,editor,globals,globals,app/globals.css,.css,150,,,,next-react,pnpm,65,40,shared-style-candidate,True,none,none,none,"Style component for editor; review for shared tokens, theme, palette, Tailwind, or global style normalization.",style-score:130,e05b8f545823ce92
e70095fa5d81d11c8e0a2f6e,mbarbine__LogSlash-w6,style,style,stylesheet,editor,globals,globals,styles/globals.css,.css,125,,,,next-react,pnpm,55,40,shared-style-candidate,True,none,none,none,"Style component for editor; review for shared tokens, theme, palette, Tailwind, or global style normalization.",style-score:130,7f30dbe34b65246e
659b8df307b3089273e69cab,mbarbine__PH3AR-WEBBY,style,style,stylesheet,ai,app,app,src/app.css,.css,37,,,,svelte,bun,55,55,shared-style-candidate,True,none,none,none,"Style component for ai; review for shared tokens, theme, palette, Tailwind, or global style normalization.",style-score:130,bfffd35655340a87
e8aa31eb712ed1fbe8c48b99,mbarbine__Scripts,style,"style,backend,observability",stylesheet,observability,Dagah_custom,dagah-custom,h4x/dagah-server/html/css/Dagah_custom.css,.css,32,,,,css,unknown,65,55,shared-style-candidate,True,none,none,none,"Style component for observability; review for shared tokens, theme, palette, Tailwind, or global style normalization.",style-score:130 | backend-score:55 | observability-score:55,997914a1cd4d2c98
