target_library,package_name,candidate_name,primary_category,component_kind,repo_count,file_count,priority,rationale,evidence_repos
shared-process,@platphorm/process,readme,process,process-document,165,337,high,process-document classified as process with reuse potential across 165 repositories and 337 files.,"mbarbine__2025-year-in-review-webby, mbarbine__FlaskFlow-www, mbarbine__JenkinsDB, mbarbine__Joshs-magnets-landing-page, mbarbine__LogSlash-w6, mbarbine__PH3AR-WEBBY, mbarbine__Scripts, mbarbine__airrow-commuter-balloon, mbarbine__automotive-flamethrower-webby, mbarbine__aws-lab, mbarbine__aws-next-k8-cluster-deploy, mbarbine__barbine-worldwide-2025-wwww, mbarbine__barbineworldwide-2026-metahack, mbarbine__beepboopprocess, mbarbine__beer-museum-manager-www, mbarbine__biocyber-xr-training-nasa-webby-v0, mbarbine__burrito-dealer-www, mbarbine__car-service-records, mbarbine__cdf-sanitize, mbarbine__civic-engagement-platform-webby, mbarbine__crafted-virginia-website, mbarbine__desert-bus, mbarbine__dinoblocks-www, mbarbine__docker-terraform-aws-demo, mbarbine__doflo-clone, mbarbine__dogstar-cybernetics-webby, mbarbine__email-reading-service-webby, mbarbine__evernote-js, mbarbine__fashion-sadiepass-WWW, mbarbine__fortune-cookie-webby-yj, mbarbine__foxio-labs, mbarbine__front-runners-webby, mbarbine__gamer, mbarbine__glass-blowing-website, mbarbine__global-anti-globalist-club-webby, mbarbine__gta-6-countdown-webby, mbarbine__instant-snap-postcard, mbarbine__ja4-sidecar, mbarbine__ja4-vercel-lab-2, mbarbine__ja4mlab"
shared-observability,@platphorm/observability,package,observability,observability-module,138,138,high,observability-module classified as observability with reuse potential across 138 repositories and 138 files.,"mbarbine__2025-year-in-review-webby, mbarbine__FlaskFlow-www, mbarbine__Joshs-magnets-landing-page, mbarbine__LogSlash-w6, mbarbine__ai-chat-interface-webby, mbarbine__airrow-commuter-balloon, mbarbine__autographed-bibles-webby, mbarbine__automotive-flamethrower-webby, mbarbine__barbine-worldwide-2025-wwww, mbarbine__barbineworldwide-2026-metahack, mbarbine__beer-museum-manager-www, mbarbine__biocyber-xr-training-nasa-webby-v0, mbarbine__burrito-dealer-www, mbarbine__calendar-app-webby, mbarbine__car-service-records, mbarbine__civic-engagement-platform-webby, mbarbine__crafted-virginia-website, mbarbine__desert-bus, mbarbine__dinoblocks-www, mbarbine__doflo-clone, mbarbine__dogstar-cybernetics-webby, mbarbine__drone-reel-webby, mbarbine__email-reading-service-webby, mbarbine__fashion-sadiepass-WWW, mbarbine__fortune-cookie-webby, mbarbine__fortune-cookie-webby-yj, mbarbine__front-runners-webby, mbarbine__game-porting-service-webby, mbarbine__gamer, mbarbine__glass-blowing-website, mbarbine__global-anti-globalist-club-webby, mbarbine__gta-6-countdown-webby, mbarbine__hot-chocolate-for-profit-webby, mbarbine__instant-snap-postcard, mbarbine__jaydens-therapy-legal-www, mbarbine__jts-hvac-gates-www, mbarbine__mailthing-main, mbarbine__mermaid-community-platform, mbarbine__mermaid-next-www, mbarbine__microwave-sticker-webby"
shared-ui,@platphorm/ui,button,ui,ui-primitive,136,145,high,ui-primitive classified as ui with reuse potential across 136 repositories and 145 files.,"mbarbine__2025-year-in-review-webby, mbarbine__FlaskFlow-www, mbarbine__Joshs-magnets-landing-page, mbarbine__LogSlash-w6, mbarbine__Scripts, mbarbine__ai-chat-interface-webby, mbarbine__airrow-commuter-balloon, mbarbine__autographed-bibles-webby, mbarbine__automotive-flamethrower-webby, mbarbine__barbine-worldwide-2025-wwww, mbarbine__barbineworldwide-2026-metahack, mbarbine__beer-museum-manager-www, mbarbine__biocyber-xr-training-nasa-webby-v0, mbarbine__burrito-dealer-www, mbarbine__calendar-app-webby, mbarbine__car-service-records, mbarbine__civic-engagement-platform-webby, mbarbine__crafted-virginia-website, mbarbine__desert-bus, mbarbine__dinoblocks-www, mbarbine__doflo-clone, mbarbine__dogstar-cybernetics-webby, mbarbine__drone-reel-webby, mbarbine__email-reading-service-webby, mbarbine__fashion-sadiepass-WWW, mbarbine__fortune-cookie-webby, mbarbine__fortune-cookie-webby-yj, mbarbine__front-runners-webby, mbarbine__game-porting-service-webby, mbarbine__gamer, mbarbine__glass-blowing-website, mbarbine__gta-6-countdown-webby, mbarbine__hot-chocolate-for-profit-webby, mbarbine__instant-snap-postcard, mbarbine__jaydens-therapy-legal-www, mbarbine__jts-hvac-gates-www, mbarbine__mailthing-main, mbarbine__mermaid-community-platform, mbarbine__mermaid-next-www, mbarbine__microwave-sticker-webby"
shared-logic,@platphorm/logic,utils,logic,utility,135,181,high,utility classified as logic with reuse potential across 135 repositories and 181 files.,"mbarbine__2025-year-in-review-webby, mbarbine__FlaskFlow-www, mbarbine__Joshs-magnets-landing-page, mbarbine__LogSlash-w6, mbarbine__ai-chat-interface-webby, mbarbine__airrow-commuter-balloon, mbarbine__autographed-bibles-webby, mbarbine__automotive-flamethrower-webby, mbarbine__barbine-worldwide-2025-wwww, mbarbine__barbineworldwide-2026-metahack, mbarbine__beer-museum-manager-www, mbarbine__biocyber-xr-training-nasa-webby-v0, mbarbine__burrito-dealer-www, mbarbine__calendar-app-webby, mbarbine__car-service-records, mbarbine__civic-engagement-platform-webby, mbarbine__crafted-virginia-website, mbarbine__desert-bus, mbarbine__dinoblocks-www, mbarbine__doflo-clone, mbarbine__dogstar-cybernetics-webby, mbarbine__drone-reel-webby, mbarbine__email-reading-service-webby, mbarbine__fashion-sadiepass-WWW, mbarbine__fortune-cookie-webby, mbarbine__fortune-cookie-webby-yj, mbarbine__front-runners-webby, mbarbine__game-porting-service-webby, mbarbine__gamer, mbarbine__glass-blowing-website, mbarbine__global-anti-globalist-club-webby, mbarbine__gta-6-countdown-webby, mbarbine__hot-chocolate-for-profit-webby, mbarbine__instant-snap-postcard, mbarbine__jaydens-therapy-legal-www, mbarbine__jts-hvac-gates-www, mbarbine__legacy-platphorm-news, mbarbine__lettuce, mbarbine__mailthing-main, mbarbine__mermaid-community-platform"
shared-ui,@platphorm/ui,card,ui,ui-primitive,126,130,high,ui-primitive classified as ui with reuse potential across 126 repositories and 130 files.,"mbarbine__2025-year-in-review-webby, mbarbine__FlaskFlow-www, mbarbine__Joshs-magnets-landing-page, mbarbine__ai-chat-interface-webby, mbarbine__autographed-bibles-webby, mbarbine__automotive-flamethrower-webby, mbarbine__barbine-worldwide-2025-wwww, mbarbine__barbineworldwide-2026-metahack, mbarbine__beer-museum-manager-www, mbarbine__biocyber-xr-training-nasa-webby-v0, mbarbine__burrito-dealer-www, mbarbine__calendar-app-webby, mbarbine__car-service-records, mbarbine__civic-engagement-platform-webby, mbarbine__crafted-virginia-website, mbarbine__desert-bus, mbarbine__dinoblocks-www, mbarbine__doflo-clone, mbarbine__dogstar-cybernetics-webby, mbarbine__drone-reel-webby, mbarbine__email-reading-service-webby, mbarbine__fashion-sadiepass-WWW, mbarbine__fortune-cookie-webby, mbarbine__fortune-cookie-webby-yj, mbarbine__front-runners-webby, mbarbine__game-porting-service-webby, mbarbine__gamer, mbarbine__glass-blowing-website, mbarbine__hot-chocolate-for-profit-webby, mbarbine__instant-snap-postcard, mbarbine__jaydens-therapy-legal-www, mbarbine__jts-hvac-gates-www, mbarbine__mailthing-main, mbarbine__mermaid-community-platform, mbarbine__microwave-sticker-webby, mbarbine__microwave-stickers-, mbarbine__multiplayer-puzzle-game, mbarbine__nextjs-ai-4, mbarbine__nextjs-ai-chatbot, mbarbine__nova-hackers-webby"
shared-backend,@platphorm/backend,route,backend,api-route,125,2941,high,api-route classified as backend with reuse potential across 125 repositories and 2941 files.,"mbarbine__FlaskFlow-www, mbarbine__Joshs-magnets-landing-page, mbarbine__ai-chat-interface-webby, mbarbine__airrow-commuter-balloon, mbarbine__autographed-bibles-webby, mbarbine__automotive-flamethrower-webby, mbarbine__barbineworldwide-2026-metahack, mbarbine__beer-museum-manager-www, mbarbine__burrito-dealer-www, mbarbine__calendar-app-webby, mbarbine__car-service-records, mbarbine__civic-engagement-platform-webby, mbarbine__desert-bus, mbarbine__doflo-clone, mbarbine__dogstar-cybernetics-webby, mbarbine__drone-reel-webby, mbarbine__fashion-sadiepass-WWW, mbarbine__fortune-cookie-webby-yj, mbarbine__front-runners-webby, mbarbine__game-porting-service-webby, mbarbine__gamer, mbarbine__global-anti-globalist-club-webby, mbarbine__gta-6-countdown-webby, mbarbine__hot-chocolate-for-profit-webby, mbarbine__job-manager, mbarbine__mailthing-api, mbarbine__mailthing-main, mbarbine__mermaid-community-platform, mbarbine__mermaid-next-www, mbarbine__microwave-sticker-webby, mbarbine__multiplayer-puzzle-game, mbarbine__my-first-nova-hbackers-preseo, mbarbine__nextjs-ai-4, mbarbine__nextjs-ai-chatbot, mbarbine__nuclear-power-plant-webby-NPaaS, mbarbine__onboard-platphorm-boilerplate-repo, mbarbine__ph3ar-admin-dashboard, mbarbine__ph3ar-blog, mbarbine__ph3ar-chatbot, mbarbine__platphorm-404"
shared-frontend,@platphorm/frontend,theme-provider,frontend,ui-provider,124,132,high,ui-provider classified as frontend with reuse potential across 124 repositories and 132 files.,"mbarbine__2025-year-in-review-webby, mbarbine__FlaskFlow-www, mbarbine__Joshs-magnets-landing-page, mbarbine__LogSlash-w6, mbarbine__ai-chat-interface-webby, mbarbine__airrow-commuter-balloon, mbarbine__autographed-bibles-webby, mbarbine__automotive-flamethrower-webby, mbarbine__barbine-worldwide-2025-wwww, mbarbine__barbineworldwide-2026-metahack, mbarbine__beer-museum-manager-www, mbarbine__biocyber-xr-training-nasa-webby-v0, mbarbine__burrito-dealer-www, mbarbine__calendar-app-webby, mbarbine__car-service-records, mbarbine__civic-engagement-platform-webby, mbarbine__crafted-virginia-website, mbarbine__desert-bus, mbarbine__dinoblocks-www, mbarbine__doflo-clone, mbarbine__dogstar-cybernetics-webby, mbarbine__drone-reel-webby, mbarbine__email-reading-service-webby, mbarbine__fashion-sadiepass-WWW, mbarbine__fortune-cookie-webby, mbarbine__fortune-cookie-webby-yj, mbarbine__front-runners-webby, mbarbine__game-porting-service-webby, mbarbine__gamer, mbarbine__glass-blowing-website, mbarbine__global-anti-globalist-club-webby, mbarbine__gta-6-countdown-webby, mbarbine__hot-chocolate-for-profit-webby, mbarbine__jaydens-therapy-legal-www, mbarbine__jts-hvac-gates-www, mbarbine__mermaid-community-platform, mbarbine__microwave-sticker-webby, mbarbine__microwave-stickers-, mbarbine__multiplayer-puzzle-game, mbarbine__nextjs-ai-4"
shared-ui,@platphorm/ui,input,ui,ui-primitive,120,125,high,ui-primitive classified as ui with reuse potential across 120 repositories and 125 files.,"mbarbine__2025-year-in-review-webby, mbarbine__Joshs-magnets-landing-page, mbarbine__Scripts, mbarbine__ai-chat-interface-webby, mbarbine__airrow-commuter-balloon, mbarbine__autographed-bibles-webby, mbarbine__automotive-flamethrower-webby, mbarbine__barbineworldwide-2026-metahack, mbarbine__beer-museum-manager-www, mbarbine__burrito-dealer-www, mbarbine__calendar-app-webby, mbarbine__car-service-records, mbarbine__civic-engagement-platform-webby, mbarbine__crafted-virginia-website, mbarbine__desert-bus, mbarbine__dinoblocks-www, mbarbine__doflo-clone, mbarbine__dogstar-cybernetics-webby, mbarbine__drone-reel-webby, mbarbine__email-reading-service-webby, mbarbine__fashion-sadiepass-WWW, mbarbine__fortune-cookie-webby, mbarbine__fortune-cookie-webby-yj, mbarbine__front-runners-webby, mbarbine__game-porting-service-webby, mbarbine__gamer, mbarbine__glass-blowing-website, mbarbine__hot-chocolate-for-profit-webby, mbarbine__instant-snap-postcard, mbarbine__jaydens-therapy-legal-www, mbarbine__mailthing-main, mbarbine__mermaid-community-platform, mbarbine__mermaid-next-www, mbarbine__microwave-sticker-webby, mbarbine__microwave-stickers-, mbarbine__multiplayer-puzzle-game, mbarbine__nextjs-ai-4, mbarbine__nextjs-ai-chatbot, mbarbine__nova-hackers-webby, mbarbine__nuclear-power-plant-webby-NPaaS"
shared-ui,@platphorm/ui,badge,ui,ui-primitive,115,119,high,ui-primitive classified as ui with reuse potential across 115 repositories and 119 files.,"mbarbine__2025-year-in-review-webby, mbarbine__FlaskFlow-www, mbarbine__Joshs-magnets-landing-page, mbarbine__LogSlash-w6, mbarbine__ai-chat-interface-webby, mbarbine__autographed-bibles-webby, mbarbine__automotive-flamethrower-webby, mbarbine__barbine-worldwide-2025-wwww, mbarbine__barbineworldwide-2026-metahack, mbarbine__beer-museum-manager-www, mbarbine__burrito-dealer-www, mbarbine__calendar-app-webby, mbarbine__car-service-records, mbarbine__civic-engagement-platform-webby, mbarbine__crafted-virginia-website, mbarbine__desert-bus, mbarbine__dinoblocks-www, mbarbine__doflo-clone, mbarbine__dogstar-cybernetics-webby, mbarbine__drone-reel-webby, mbarbine__email-reading-service-webby, mbarbine__fashion-sadiepass-WWW, mbarbine__fortune-cookie-webby, mbarbine__fortune-cookie-webby-yj, mbarbine__game-porting-service-webby, mbarbine__gamer, mbarbine__hot-chocolate-for-profit-webby, mbarbine__instant-snap-postcard, mbarbine__jaydens-therapy-legal-www, mbarbine__jts-hvac-gates-www, mbarbine__mermaid-community-platform, mbarbine__microwave-sticker-webby, mbarbine__microwave-stickers-, mbarbine__multiplayer-puzzle-game, mbarbine__nova-hackers-webby, mbarbine__nuclear-power-plant-webby-NPaaS, mbarbine__onboard-platphorm-boilerplate-repo, mbarbine__ph3ar-admin-dashboard, mbarbine__platphorm-404, mbarbine__platphorm-agentui"
shared-ui,@platphorm/ui,select,ui,ui-primitive,103,107,high,ui-primitive classified as ui with reuse potential across 103 repositories and 107 files.,"mbarbine__2025-year-in-review-webby, mbarbine__Joshs-magnets-landing-page, mbarbine__Scripts, mbarbine__ai-chat-interface-webby, mbarbine__autographed-bibles-webby, mbarbine__automotive-flamethrower-webby, mbarbine__barbineworldwide-2026-metahack, mbarbine__beer-museum-manager-www, mbarbine__calendar-app-webby, mbarbine__car-service-records, mbarbine__civic-engagement-platform-webby, mbarbine__crafted-virginia-website, mbarbine__desert-bus, mbarbine__doflo-clone, mbarbine__dogstar-cybernetics-webby, mbarbine__drone-reel-webby, mbarbine__email-reading-service-webby, mbarbine__fashion-sadiepass-WWW, mbarbine__fortune-cookie-webby, mbarbine__fortune-cookie-webby-yj, mbarbine__game-porting-service-webby, mbarbine__hot-chocolate-for-profit-webby, mbarbine__instant-snap-postcard, mbarbine__mermaid-community-platform, mbarbine__microwave-sticker-webby, mbarbine__microwave-stickers-, mbarbine__multiplayer-puzzle-game, mbarbine__nextjs-ai-4, mbarbine__nextjs-ai-chatbot, mbarbine__nova-hackers-webby, mbarbine__nuclear-power-plant-webby-NPaaS, mbarbine__onboard-platphorm-boilerplate-repo, mbarbine__ph3ar-chatbot, mbarbine__platphorm-404, mbarbine__platphorm-agentui, mbarbine__platphorm-ai-photo-enrichment, mbarbine__platphorm-alleycats, mbarbine__platphorm-ascii, mbarbine__platphorm-auction-vice, mbarbine__platphorm-base"
